index,name,name_zh,sector,sector_zh,payload_sector,settings_hash,biome_en,biome_zh,hazards_zh,max_health,initial_owner,initial_owner_zh,pos_x,pos_y,region_count,regions
18,WRAITH,,Idun,,6,3088889549,Acidic Badlands,酸性荒地,酸雨风暴,1000000,1,超级地球,-0.15065464,0.015730456,0,
19,IGLA,,Kelvin,,7,768352347,Boneyard,骸骨场,,1000000,1,超级地球,-0.1728935,0.06970126,0,
20,NEW KIRUNA,,Kelvin,,7,1299274778,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,-0.12621213,0.11136782,0,
21,FORT JUSTICE,,Kelvin,,7,3992185257,Ethereal Jungle,空灵丛林,,1000000,1,超级地球,-0.07801243,0.10585686,0,
22,ZEGEMA PARADISE,,Kelvin,,7,160106209,Volcanic Jungle,火山丛林,火山活动,1000000,1,超级地球,-0.039789412,0.14535835,0,
23,PROVIDENCE,,Iptus,,8,1257502272,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,0.030315775,0.2269306,0,
24,PRIMORDIA,,Iptus,,8,2862366365,Volcanic Jungle,火山丛林,火山活动,1000000,1,超级地球,0.09383544,0.25608748,0,
25,SULFURA,,Celeste,,9,1812451556,Ethereal Jungle,空灵丛林,,1000000,1,超级地球,0.17009519,0.1877717,0,
26,NUBLARIA I,,Celeste,,9,4068066596,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,0.2117717,0.12409518,0,
27,KRAKATWO,,Celeste,,9,2585302931,Boneyard,骸骨场,,1000000,1,超级地球,0.2540875,0.05583542,0,
28,VOLTERRA,,Korpus,,9,3650236983,Plains,平原,,2000000,1,超级地球,0.2939306,-0.033684243,3,SCARLET HAVEN | EDWARD'S GRAVE | LIGHT-OF-LIBERTY
29,CRUCIBLE,,Korpus,,10,410562438,Tundra,苔原,,2500000,1,超级地球,0.22952318,-0.029197697,4,KURRI KURRI | ANNWN | AGARTHA | PROMINENCE
30,VEIL,,Barnard,巴纳德,2,3538905431,Deadlands,死地,,1000000,1,超级地球,0.23037383,-0.0976583,0,
31,MARRE IV,,Barnard,巴纳德,2,529527934,Scorched Moor,焦灼荒原,火焰龙卷,1000000,1,超级地球,0.2007717,-0.1490952,0,
32,FORT SANCTUARY,,Cancri,康谷利伊,3,3945891756,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,0.15409517,-0.210073,1,NEW YEARNING CITY
33,SEYSHEL BEACH,,Cancri,康谷利伊,3,3266374354,Ethereal Jungle,空灵丛林,,2300000,1,超级地球,0.0977173,-0.22407754,4,ACCOUNTANT GRAEBER | BEACHVIEW | THE VILLAS | NEW ALEXANDRIA
34,HELLMIRE,,Mirin,,3,3551496165,Scorched Moor,焦灼荒原,火焰龙卷,1000000,2,终结族,0.5111386,0.3511805,0,
35,EFFLUVIA,,Cancri,康谷利伊,3,2640422831,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,-0.023138678,-0.24981944,0,
36,SOLGHAST,,Gothmar,,4,3407890530,Haunted Swamp,阴魂沼泽,,1700000,1,超级地球,-0.09065833,-0.2413738,3,LUXE POINT | SHADY OAKS | DOSTOINSTVO
37,DILUVIA,,Gothmar,,4,760056919,Tundra,苔原,,2000000,1,超级地球,-0.1440952,-0.2027717,3,GRACIOUS LIBERTY | LUSCIOUS LIBERTY | COUNCILLOR RORA
38,VIRIDIA PRIME,,Cantolus,,5,1831450049,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,-0.19187985,-0.14480585,0,
39,OBARI,,Cantolus,,5,298165685,Plains,平原,,1000000,1,超级地球,-0.24438877,-0.10283538,0,
40,MYRADESH,,Idun,,6,2146401321,Desert Cliffs,沙漠峭壁,地震活动,1000000,1,超级地球,-0.2415232,-0.033197638,0,
41,ATRAMA,,Idun,,6,3508924100,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,-0.25681943,0.030138722,0,
42,EMERIA,,Kelvin,,7,2243203717,Rocky Canyons,岩石峡谷,地震活动,1600000,1,超级地球,-0.2473738,0.09965837,1,NEW ASPIRATION CITY
43,BARABOS,,Marspira,,18,1678797801,Basic Swamp,原始沼泽,,1000000,1,超级地球,-0.1857717,0.13809519,0,
44,FENMIRE,,Marspira,,18,3404343820,Plains,平原,,2400000,1,超级地球,-0.16809516,0.19577172,3,BRAWFERMLAND | NEW ABERDEEN | SAORSA GLEN
45,MASTIA,,Marspira,,19,2969736642,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,-0.13065825,0.30637383,0,
46,SHALLUS,,Talus,,19,1438199726,Ethereal Jungle,空灵丛林,,1000000,1,超级地球,-0.061315693,0.2489306,0,
47,KRAKABOS,,Iptus,,8,2013504640,Basic Swamp,原始沼泽,,1000000,1,超级地球,0.037842084,0.32250285,0,
48,IRIDICA,,Iptus,,8,2525961073,Ethereal Jungle,空灵丛林,,1000000,1,超级地球,0.1129696,0.3345827,0,
49,AZTERRA,,Orion,,20,2151164116,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,0.2219546,0.2772582,0,
50,AZUR SECUNDUS,,Sten,,20,3265310936,Desert Cliffs,沙漠峭壁,地震活动,1000000,2,终结族,0.87390286,0.35359928,0,
51,IVIS,,Celeste,,9,4148701638,Basic Swamp,原始沼泽,,1000000,1,超级地球,0.287884,0.1099696,0,
52,SLIF,,Celeste,,9,1756822119,Acidic Badlands,酸性荒地,酸雨风暴,1000000,1,超级地球,0.338688,0.05460588,0,
53,CARAMOOR,,Korpus,,10,438925458,Desert Dunes,沙漠沙丘,沙暴,2200000,1,超级地球,0.32650283,-0.12384212,3,LEMURIA RISING | PIONEER'S DREAM | BASE CAMP 8
54,KHARST,,Gallux,,11,4190033207,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,0.26874065,-0.21253327,0,
55,EUKORIA,,Morgon,,12,3951456049,Boneyard,骸骨场,,1000000,1,超级地球,0.19353323,-0.28004193,0,
56,MYRIUM,,Morgon,,12,207323189,Rocky Canyons,岩石峡谷,地震活动,2000000,1,超级地球,0.12696959,-0.30758274,3,PILOT'S BERTH | PLETHORA | ANTBOOT
57,KERTH SECUNDUS,,Rictus,,13,3674393208,Tundra,苔原,,2000000,1,超级地球,0.04284205,-0.33550286,3,SCHOLAR'S MOOR | BLESTRAIL | HILDOARA CENTRAL
58,PARSH,,Rictus,,13,430094434,Basic Swamp,原始沼泽,,2000000,1,超级地球,-0.038842108,-0.32750285,2,PORUGU | PADOSAN
59,REAF,,Saleria,,14,1018677806,Plains,平原,,1000000,1,超级地球,-0.11379249,-0.3215678,0,
60,IRULTA,,Saleria,,14,2414771368,Volcanic Jungle,火山丛林,火山活动,1700000,1,超级地球,-0.19953328,-0.2830419,3,RECON HEIGHTS | SILO A | VOTER'S FALLOW
61,EMORATH,,Meridian,,15,635122119,Ethereal Jungle,空灵丛林,,1900000,1,超级地球,-0.26690286,-0.23559926,3,FARMHANDSTOWN | FORT BOUNTY | FUTURIA
62,ILDUNA PRIME,,Meridian,,15,3508592390,Tundra,苔原,,1000000,1,超级地球,-0.28988406,-0.16096954,0,
63,MAW,,Idun,,6,4056948497,Scorched Moor,焦灼荒原,火焰龙卷,1000000,1,超级地球,-0.33550286,-0.05084203,0,
64,MERIDIA,,Umlaut,,17,215016124,Supercolony,超级虫巢,,1000000,2,终结族,0.2965067,0.11628686,0,
65,BOREA,,Sagan,,17,3293929397,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,-0.31756774,0.13179255,0,
66,CURIA,,Marspira,,18,1750606702,Moon,月球,流星风暴,1000000,1,超级地球,-0.24490279,0.21259932,0,
67,TARSH,,Marspira,,18,3882819373,Haunted Swamp,阴魂沼泽,,1300000,1,超级地球,-0.20995454,0.28325823,3,FORTITUDE | FREEDOM'S TORCH | FEARLESS HOLLOW
68,SHELT,,Talus,,18,1223630977,Tundra,苔原,,1000000,1,超级地球,-0.05373336,0.3648641,0,
69,IMBER,,Talus,,19,2115544264,Scorched Moor,焦灼荒原,火焰龙卷,1000000,1,超级地球,-0.060664836,0.44539174,0,
70,BLISTICA,,Gellert,,8,4206815834,Scorched Moor,焦灼荒原,火焰龙卷,1000000,1,超级地球,-0.1716316,0.8050751,0,
71,RATCH,,Iptus,,8,2898292715,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,0.0441322,0.42626023,0,
72,JULHEIM,,Nanos,,31,922433838,Icy Glaciers,冰川,暴风雪,1600000,1,超级地球,-0.52319145,0.14335436,1,FROSTOWN
73,VALGAARD,,Iptus,,8,3238002446,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,0.1661038,0.40307793,0,
74,ARKTURUS,,Arturion,,20,670993741,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,0.2559713,0.5260108,0,
75,ESKER,,Falstaff,,20,2729833133,Acidic Badlands,酸性荒地,酸雨风暴,1000000,1,超级地球,0.372748,0.5082812,0,
76,TERREK,,Orion,,20,910588397,Moon,月球,流星风暴,1000000,1,超级地球,0.26528117,0.347748,0,
77,CIRRUS,,Orion,,20,2112907641,Deadlands,死地,,1000000,1,超级地球,0.32492584,0.25839266,0,
78,CRIMSICA,,Draco,,21,1886266372,Ionic Crimson,赤红离子,离子风暴,1500000,2,终结族,0.6113544,0.22880854,2,LIL'OME | LLANFAIRPWLLGWYNGYLLGOGERYCHWYRNDROBWLLLLANTYSILIOGOGOGOCH II
79,HEETH,,Orion,,21,1391690878,Icy Glaciers,冰川,暴风雪,1000000,2,终结族,0.39437926,0.27310377,0,
80,VELD,,Orion,,22,3659340575,Ionic Jungle,离子丛林,离子风暴,1800000,1,超级地球,0.43926024,0.0731322,2,CLE ELUM REDIVIVA | LAELIA
81,ALTA V,,Korpus,,22,572365311,Volcanic Jungle,火山丛林,火山活动,1300000,1,超级地球,0.3660751,-0.04763163,2,PORTE LIBERTÉ | UNDERVATTEN
82,URSICA XI,,Borgus,,10,4009717368,Ethereal Jungle,空灵丛林,,1600000,1,超级地球,0.5340751,-0.090368435,2,NEW KATHMANDU | PO'S RAVENNA
83,INARI,,Korpus,,10,2623879324,Boneyard,骸骨场,,1000000,1,超级地球,0.44555652,-0.06207318,0,
84,SKAASH,,Ursa,,24,1076755284,Acidic Badlands,酸性荒地,酸雨风暴,1000000,1,超级地球,0.41835436,-0.17080852,0,
85,MORADESH,,Celeste,,24,912379297,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,0.33707795,0.1548962,0,
86,RASP,,Gallux,,11,2598991571,Moon,月球,流星风暴,1000000,1,超级地球,0.39501083,-0.26197135,0,
87,BASHYR,,Gallux,,11,49391513,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,0.32492584,-0.26339266,0,
88,REGNUS,,Morgon,,12,2299441253,Volcanic Jungle,火山丛林,火山活动,1800000,1,超级地球,0.24639264,-0.3159259,3,PEOPLE'S HAND | TOPSOIL | HUMAN WILL
89,MOG,,Morgon,,12,2695815635,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,0.29074797,-0.35328123,0,
90,VALMOX,,Rictus,,13,1922612740,Ionic Crimson,赤红离子,离子风暴,1900000,1,超级地球,0.18610376,-0.381078,3,REBELSGRAVE | REFORMED-BY-TRUTH | OBEDIENCE
91,IRO,,Rictus,,13,3172148623,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,0.15380847,-0.4373544,0,
92,GRAFMERE,,Rictus,,13,3602852408,Boneyard,骸骨场,,2100000,1,超级地球,0.06113215,-0.40526026,3,GRAFSART | GRAFSWALLIT | GRAFSEAD
93,NEW STOCKHOLM,,Hanzo,,13,3515684391,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,0.1470731,-0.5095566,0,
94,OASIS,,Rictus,,13,997855239,Volcanic Jungle,火山丛林,火山活动,1400000,1,超级地球,0.00063157,-0.4440751,1,RESPITE
95,GENESIS PRIME,,Rictus,,13,910436923,Ionic Jungle,离子丛林,离子风暴,1600000,1,超级地球,-0.07607324,-0.44355652,2,MALLSTRIP NODES | BIRTH
96,OUTPOST 32,,Saleria,,14,2306843160,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,-0.13786763,-0.40105802,0,
97,CALYPSO,,Saleria,,14,4011448258,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,-0.21110377,-0.42437923,0,
98,ELYSIAN MEADOWS,,Guang,,28,3533355425,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,-0.25539273,-0.3439258,0,
99,SANGIS,,Guang,,28,104621771,Deciduous Autumn Forest,秋色落叶林,,1000000,1,超级地球,-0.15597135,-0.75601083,0,
100,TRANDOR,,Sten,,29,3515299681,Tundra,苔原,,1900000,2,终结族,0.9189892,-0.1249713,3,NYA SKELLEFTEA | ÖDESHÖGRE | GOTHENBURG III
101,EAST IRIDIUM TRADING BAY,,Tarragon,,29,3115954791,Basic Swamp,原始沼泽,,1000000,1,超级地球,-0.3422812,-0.302748,0,
102,LIBERTY RIDGE,,Meridian,,15,1017957570,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,-0.4123793,-0.17510368,2,VANQUISHMENT | FREECREST
103,BALDRICK PRIME,,Meridian,,15,1398996417,Volcanic Jungle,火山丛林,火山活动,1000000,1,超级地球,-0.353078,-0.13310368,0,
104,THE WEIR,,Theseus,,16,701410047,Plains,平原,,1000000,1,超级地球,-0.42307508,-0.029368328,0,
105,KUPER,,Theseus,,16,2344219187,Ionic Jungle,离子丛林,离子风暴,1000000,1,超级地球,-0.46455657,-0.09407307,0,
106,OSLO STATION,,Sagan,,17,1496025116,Boneyard,骸骨场,,1000000,1,超级地球,-0.4232602,0.05013234,0,
107,PÖPLI IX,,Xzar,,17,696145979,Scorched Moor,焦灼荒原,火焰龙卷,1600000,1,超级地球,-0.6355565,0.0490733,2,RESILIENCE | HOT GATES
108,GUNVALD,,Sagan,,31,435094671,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,-0.349058,0.0568677,0,
109,DOLPH,,Nanos,,31,2131959183,Moon,月球,流星风暴,1000000,1,超级地球,-0.531078,0.05410378,0,
110,BEKVAM III,,Nanos,,31,412801448,Ethereal Jungle,空灵丛林,,1600000,1,超级地球,-0.48401085,0.21397132,2,CONVENIENCE | FIREFLY MEADOWS
111,DUMA TYR,,Nanos,,31,255676170,Tundra,苔原,,1000000,1,超级地球,-0.40970957,0.15897132,0,
112,VERNEN WELLS,,Hydra,,32,2442155408,Rocky Canyons,岩石峡谷,地震活动,1500000,1,超级地球,-0.26997122,0.3760109,3,BLACKVEIN MINES | BENEVOLENCE | ANNE'S VIGIL
113,AESIR PASS,,Hydra,,32,3407029244,Deadlands,死地,,1000000,1,超级地球,-0.34874794,0.28628126,0,
114,AURORA BAY,,Valdis,,19,975759959,Tundra,苔原,,1600000,1,超级地球,-0.44310373,0.599078,2,BATU BELIG | EAGLEMOUNT
115,PENTA,,Lacaille,,19,101741274,Deadlands,死地,,1000000,1,超级地球,-0.27880847,0.58735436,0,
116,GAELLIVARE,,Talus,,19,2654907023,Volcanic Jungle,火山丛林,火山活动,1700000,1,超级地球,-0.16213205,0.4142603,2,VÁHTJER | MALMBERGET
117,VOG-SOJOTH,,Tanis,,19,2580049274,Icy Glaciers,冰川,暴风雪,1200000,1,超级地球,-0.122073,0.5435566,1,HAERSTVIK
118,KIRRIK,,Arturion,,36,612402065,Volcanic Jungle,火山丛林,火山活动,1000000,1,超级地球,0.12954043,0.52342516,0,
119,MORTAX PRIME,,Arturion,,36,248400433,Desert Cliffs,沙漠峭壁,地震活动,1000000,1,超级地球,0.033894707,0.5456473,0,
120,WILFORD STATION,,Arturion,,36,1423930789,Acidic Badlands,酸性荒地,酸雨风暴,1000000,1,超级地球,0.1969427,0.5865483,0,
121,PIONEER II,,Arturion,,36,429955586,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,0.28023794,0.6415732,0,
122,ERSON SANDS,,Falstaff,,37,137703244,Desert Cliffs,沙漠峭壁,地震活动,1000000,1,超级地球,0.46854144,0.5513042,0,
123,SOCORRO III,,Falstaff,,37,1156965013,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,0.3994094,0.6009798,0,
124,BORE ROCK,,Falstaff,,20,2435651414,Basic Swamp,原始沼泽,,1000000,1,超级地球,0.3259798,0.4174094,0,
125,FENRIR III,,Umlaut,,20,2875368439,Moon,月球,流星风暴,2000000,2,终结族,0.46994886,0.27418607,3,LOKAHEIM | PSEUDOTOPIA | FAMEWOLF PEAK
126,TURING,,Umlaut,,21,2706883571,Ethereal Jungle,空灵丛林,,2000000,2,终结族,0.5348745,0.11823793,3,CHATOYANT | CARBONDALE | PERIWINKLE MILLS
127,ANGEL'S VENTURE,,Orion,,21,2003553249,Tundra,苔原,,1000000,2,终结族,0.4448446,0.1618837,0,
128,DARIUS II,,Borgus,,22,2658926073,Acidic Badlands,酸性荒地,酸雨风暴,1400000,1,超级地球,0.6416474,-0.034105327,1,BUJU
129,ACAMAR IV,,Jin Xi,,39,1231076923,Plains,平原,,1500000,1,超级地球,0.6244252,0.10954041,2,DEMOCRACY ALWAYS | ERIDANI
130,ACHERNAR SECUNDUS,,Borgus,,23,984145086,Plains,平原,,2000000,1,超级地球,0.6394251,-0.11354046,3,CURRENCY | NEW NEWTONVILLE | OL' OLDHAM
131,ACHIRD III,,Borgus,,23,3921453955,Rocky Canyons,岩石峡谷,地震活动,2000000,1,超级地球,0.5706473,-0.035894755,3,TIMELY | APPROVAL CITY | OLD BRANCH
132,ACRAB XI,,Ursa,,24,3215655918,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,0.4985732,-0.21423799,0,
133,ACRUX IX,,Ursa,,24,997215371,Boneyard,骸骨场,,1000000,1,超级地球,0.5715483,-0.19894274,0,
134,ACUBENS PRIME,,Gallux,,11,2282459618,Ethereal Jungle,空灵丛林,,1000000,1,超级地球,0.39494884,-0.34418607,0,
135,ADHARA,,Gallux,,11,1937725917,Scorched Moor,焦灼荒原,火焰龙卷,1500000,1,超级地球,0.3655414,-0.40630427,2,TRAITOR'S END | STRENGTH
136,AFOYAY BAY,,Gallux,,11,3715077297,Plains,平原,,1000000,1,超级地球,0.30818605,-0.4349489,0,
137,AIN-5,,Hanzo,,26,4017257734,Deadlands,死地,,1000000,1,超级地球,0.21723792,-0.49157324,0,
138,ALAIRT III,,Hanzo,,26,1534729714,Ionic Jungle,离子丛林,离子风暴,2200000,1,超级地球,0.11354035,-0.5914251,4,GREATER STOROUSE | NEW STOROUSE | SHED | FREE TRADE
139,ALAMAK VII,,Hanzo,,26,3213455987,Ethereal Jungle,空灵丛林,,2300000,1,超级地球,0.06359941,-0.5271288,4,KESUMA | UNGU | NO COMPOUND | FILIBUSTER
140,ALARAPH,,Akira,,27,2830340410,Deadlands,死地,,1800000,1,超级地球,-0.03489475,-0.54864734,2,PERMACURIS | HANGAR 6
141,ALATHFAR XI,,Akira,,27,1297056046,Icy Glaciers,冰川,暴风雪,2200000,1,超级地球,-0.12159955,-0.5161287,3,Region 0 | WORKSONG | SEVERITY
142,ANDAR,,Akira,,27,1526977116,Tundra,苔原,,1600000,1,超级地球,-0.20094277,-0.4955483,1,NEW TOKYO
143,ASPEROTH PRIME,,Akira,,27,770159872,Basic Swamp,原始沼泽,,1800000,1,超级地球,-0.23688374,-0.5768446,2,ASPEN HILLS | MEGACORPUS
144,BELLATRIX,,Guang,,28,232742202,Plains,平原,,1000000,1,超级地球,-0.30640945,-0.4626785,0,
145,BOTEIN,,Guang,,28,784275392,Acidic Badlands,酸性荒地,酸雨风暴,1000000,1,超级地球,-0.3871862,-0.43394879,0,
146,OSUPSAM,,Tarragon,,29,1986037000,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,-0.47797978,-0.3174094,0,
147,BRINK-2,,Tarragon,,29,2935376141,Ionic Jungle,离子丛林,离子风暴,1000000,1,超级地球,-0.4116785,-0.3474094,0,
148,BUNDA SECUNDUS,,Tarragon,,29,3228999359,Tundra,苔原,,1000000,1,超级地球,-0.5268447,-0.18688355,0,
149,CANOPUS,,Tarragon,,29,3482441182,Desert Cliffs,沙漠峭壁,地震活动,1000000,1,超级地球,-0.47057328,-0.23023784,0,
150,CAPH,,Theseus,,16,3480296110,Basic Swamp,原始沼泽,,2200000,1,超级地球,-0.5226474,-0.035894625,3,EASTCLEFT | KINABATANGAN | DOWNPOUR
151,CASTOR,,Theseus,,16,1043181,Rocky Canyons,岩石峡谷,地震活动,1000000,1,超级地球,-0.56242514,-0.11354032,0,
152,DURGEN,,Severin,,31,572242261,Desert Dunes,沙漠沙丘,沙暴,1000000,3,机器人,-0.9146473,-0.17310524,0,
153,DRAUPNIR,,Xzar,,31,1192040123,Plains,平原,,1800000,1,超级地球,-0.745425,-0.1314594,2,EIGHTRINGS | BROKER'S WEALTH
154,MORT,,Xzar,,31,457558822,Deadlands,死地,,1400000,1,超级地球,-0.6788745,0.117238,1,SAPPHIRE LAKE
155,INGMAR,,Xzar,,31,2655630774,Ionic Crimson,赤红离子,离子风暴,1800000,1,超级地球,-0.73154825,0.05294286,3,FORT SANGUINE | KNIGHT'S HONOR | SEVENSEAL
156,CHARBAL-VII,,Andromeda,,33,3531149629,Acidic Badlands,酸性荒地,酸雨风暴,2000000,1,超级地球,-0.6009798,0.2024094,1,UTOPIA VAREN
157,CHARON PRIME,,Andromeda,,32,2007360508,Ionic Crimson,赤红离子,离子风暴,1000000,1,超级地球,-0.575186,0.26594892,0,
158,CHOEPESSA IV,,Trigon,,32,2564387350,Boneyard,骸骨场,,3200000,1,超级地球,-0.7044093,0.25667855,4,HILJAISUUS | KALASATAMA | YDINKESKUSTA | EVOLUTION PLATS
159,CHOOHE,,Lacaille,,34,1159313659,Desert Dunes,沙漠沙丘,沙暴,1000000,1,超级地球,-0.3992379,0.5128745,0,
160,CHORT BAY,,Lacaille,,34,2695598028,Acidic Badlands,酸性荒地,酸雨风暴,1000000,1,超级地球,-0.3412379,0.5515733,0,
161,CLAORELL,,Tanis,,35,1109752394,Moon,月球,流星风暴,2200000,1,超级地球,-0.04959929,0.5291288,3,MAJOSYRI | QUASAR | ZENITH
162,CLASA,,Tanis,,35,4171074231,Basic Swamp,原始沼泽,,1700000,1,超级地球,-0.07354023,0.6374251,3,SYCAMORE GARDENS | KODIAK FALLS | VOTING DISTRICT F-012357
163,DEMIURG,,Tanis,,35,1270268663,Tundra,苔原,,1000000,1,超级地球,0.061421014,0.6512196,0,
164,DENEB SECUNDUS,,Arturion,,36,575825411,Boneyard,骸骨场,,1000000,1,超级地球,0.09195879,0.7373349,0,
165,ELECTRA BAY,,Arturion,,36,3031668844,Plains,平原,,1000000,1,超级地球,0.2163721,0.7093697,0,
166,ENULIALE,,L'estrade,,37,3692735566,Ionic Crimson,赤红离子,离子风暴,1000000,2,终结族,0.47584745,0.6789487,0,
167,EPSILON PHOENCIS VI,,L'estrade,,37,3517952761,Icy Glaciers,冰川,暴风雪,1000000,2,终结族,0.5693348,0.6043272,0,
168,ERATA PRIME,,Umlaut,,38,3604506896,Desert Cliffs,沙漠峭壁,地震活动,1500000,2,终结族,0.4243272,0.34833485,3,NEW DA NANG | PHAM'S SITE | OLD CHEMLAND
169,ESTANU,,Draco,,21,356540875,Boneyard,骸骨场,,1000000,2,终结族,0.5803697,0.29137206,0,
170,FORI PRIME,,Draco,,21,3087050848,Rocky Canyons,岩石峡谷,地震活动,1000000,2,终结族,0.6880386,0.30101782,0,
171,GACRUX,,Jin Xi,,39,2036924050,Basic Swamp,原始沼泽,,1000000,1,超级地球,0.7302936,0.14800768,0,
172,GAR HAREN,,Jin Xi,,39,2254239637,Haunted Swamp,阴魂沼泽,,1000000,1,超级地球,0.7312195,-0.12242107,0,
173,GATRIA,,Jin Xi,,39,1039531899,Ionic Crimson,赤红离子,离子风暴,1500000,1,超级地球,0.8252936,-0.13200772,2,ALTONBURG | ERSATZ
174,GEMMA,,Ursa,,24,1730968584,Ionic Jungle,离子丛林,离子风暴,1000000,1,超级地球,0.5600685,-0.27437216,0,
175,GRAND ERRANT,,Farsight,,24,3461540330,Scorched Moor,焦灼荒原,火焰龙卷,1000000,1,超级地球,0.6873349,-0.2439588,0,
176,HADAR,,Ferris,费里斯,25,3671746797,Icy Glaciers,冰川,暴风雪,1000000,1,超级地球,0.51897186,-0.3859795,0,
177,HAKA,,Leo,,25,1969390828,Deadlands,死地,,1000000,1,超级地球,0.5813272,-0.45833483,0,
